Номенклатура;Артикул;Наименование;НаименованиеПолное;БазоваяЕдиницаИзмерения;ВидНоменклатуры;ДополнительноеОписание;Актуальность;АктуальностьЦифра;Изображение;ИзображениеОборота;Количество;Формат;Дата первого прихода;Поставщик;Код цены;Отделка;Наличие текста;Количество в упаковке;Лицензия;Розничная цена;Оптовая цена;Родитель1;Родитель2;Родитель3;Родитель4;Родитель5
4e0ec319-cfa1-11df-ad99-e0cb4ecb44d2;091.157;Конверт художественный формата 'гигант';Конверт художественный формата 'гигант';шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326291291191157.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326291291191157.back.jpg;73;гигант;28.09.2010;Мир поздравлений ЗАО;912;без отделки;нет;100;;14;6,7;Конверты для денег;Свадьба;;;
4e0ec31b-cfa1-11df-ad99-e0cb4ecb44d2;091.158;Конверт художественный формата 'гигант';Конверт художественный формата 'гигант';шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326291291191158.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326291291191158.back.jpg;71;гигант;28.09.2010;Мир поздравлений ЗАО;912;без отделки;нет;100;;14;6,7;Конверты для денег;Свадьба;;;
4e0ec31e-cfa1-11df-ad99-e0cb4ecb44d2;001.284;Поздравляю!;Поздравляю!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326248500201284.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326248500201284.back.jpg;9;малый гигант;28.09.2010;Мир поздравлений ЗАО;485;диз. бумага, фольга;есть;10;;35;17,3;Поздравляю (ем);Поздравительные;Открытки;;
4e0ec322-cfa1-11df-ad99-e0cb4ecb44d2;001.605;Поздравляю!;Поздравляю!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500301605.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500301605.back.jpg;7;средний;28.09.2010;Мир поздравлений ЗАО;475;блестки, конгрев;есть;10;;25;11,6;Поздравляю (ем);Поздравительные;Открытки;;
4e0ec324-cfa1-11df-ad99-e0cb4ecb44d2;001.606;Поздравляю!;Поздравляю!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500301606.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500301606.back.jpg;6;средний;28.09.2010;Мир поздравлений ЗАО;475;блестки, конгрев;есть;10;;25;11,6;Поздравляю (ем);Поздравительные;Открытки;;
4e0ec32c-cfa1-11df-ad99-e0cb4ecb44d2;001.619;Поздравляю! Друг дорогой, а ты силен...;Поздравляю! Друг дорогой, а ты силен...;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500301619.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500301619.back.jpg;4;средний;28.09.2010;Мир поздравлений ЗАО;475;блестки, конгрев;есть;10;;25;11,6;Юмор друзьям, близким, любимым;Юмор;Открытки;;
4e0ec32e-cfa1-11df-ad99-e0cb4ecb44d2;003.685;От всего сердца поздравляем!;От всего сердца поздравляем!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326248500203685.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326248500203685.back.jpg;23;малый гигант;28.09.2010;Мир поздравлений ЗАО;485;диз. бумага, фольга;есть;10;;35;17,3;Поздравляю (ем);Поздравительные;Открытки;;
4e0ec330-cfa1-11df-ad99-e0cb4ecb44d2;003.686;Поздравляем!;Поздравляем!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326248500203686.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326248500203686.back.jpg;8;малый гигант;28.09.2010;Мир поздравлений ЗАО;485;диз. бумага, фольга;есть;10;;35;17,3;Поздравляю (ем);Поздравительные;Открытки;;
4e0ec332-cfa1-11df-ad99-e0cb4ecb44d2;004.075;Поздравляем!;Поздравляем!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500304075.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500304075.back.jpg;4;средний;28.09.2010;Мир поздравлений ЗАО;475;блестки, конгрев;есть;10;;25;11,6;Поздравляю (ем);Поздравительные;Открытки;;
4e0ec336-cfa1-11df-ad99-e0cb4ecb44d2;004.077;Поздравляем!;Поздравляем!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500304077.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500304077.back.jpg;10;средний;28.09.2010;Мир поздравлений ЗАО;475;блестки, конгрев;есть;10;;25;11,6;Поздравляю (ем);Поздравительные;Открытки;;
4e0ec338-cfa1-11df-ad99-e0cb4ecb44d2;004.079;Поздравляем!;Поздравляем!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500304079.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500304079.back.jpg;18;средний;28.09.2010;Мир поздравлений ЗАО;475;диз. бумага, фольга;есть;10;;25;11,6;Поздравляю (ем);Поздравительные;Открытки;;
4e0ec34a-cfa1-11df-ad99-e0cb4ecb44d2;037.305;Невестке!;Невестке!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500337305.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500337305.back.jpg;24;средний;28.09.2010;Мир поздравлений ЗАО;475;блестки, конгрев;есть;10;;25;11,6;Родным и близким;Адресные;Открытки;;
91d27aac-cfa1-11df-ad99-e0cb4ecb44d2;037.306;Тете!;Тете!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500337306.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500337306.back.jpg;4;средний;28.09.2010;Мир поздравлений ЗАО;475;блестки, конгрев;есть;10;;25;11,6;Родным и близким;Адресные;Открытки;;
91d27ad2-cfa1-11df-ad99-e0cb4ecb44d2;037.325;Дорогой подруге!;Дорогой подруге!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326248500237325.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326248500237325.back.jpg;7;малый гигант;28.09.2010;Мир поздравлений ЗАО;485;диз. бумага, фольга;есть;10;;35;17,3;Прочие адресные открытки;Адресные;Открытки;;
91d27ae2-cfa1-11df-ad99-e0cb4ecb44d2;047.780;В день вашей свадьбы!;В день вашей свадьбы!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500347780.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500347780.back.jpg;9;средний;28.09.2010;Мир поздравлений ЗАО;475;цветная термография;есть;10;;25;11,6;С днем свадьбы;Свадьба;;;
91d27ae4-cfa1-11df-ad99-e0cb4ecb44d2;054.340;С днем рождения!;С днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326277000954340.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326277000954340.back.jpg;49;гигант;28.09.2010;Мир поздравлений ЗАО;770;блестки, конгрев;есть;10;;48;23,6;С днем рождения;Поздравительные;Открытки;;
9e046d92-cfa1-11df-ad99-e0cb4ecb44d2;054.403;С днем рождения! Лови момент - поймай уд;С днем рождения! Лови момент - поймай уд;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500354403.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500354403.back.jpg;10;средний;28.09.2010;Мир поздравлений ЗАО;475;блестки, конгрев;есть;10;;25;11,6;С днем рождения;Юмор;Открытки;;
9e046da4-cfa1-11df-ad99-e0cb4ecb44d2;065.757;Свидетельство;Свидетельство;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326241000465757.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326241000465757.back.jpg;53;грамота А4, диплом;28.09.2010;Мир поздравлений ЗАО;410;без отделки;нет;10;;13;6,5;Сертификаты свидетельства;Грамоты и дипломы;Официальные;Открытки;
9e046da6-cfa1-11df-ad99-e0cb4ecb44d2;065.758;Грамота за 1 место;Грамота за 1 место;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326241000465758.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326241000465758.back.jpg;105;грамота А4, диплом;28.09.2010;Мир поздравлений ЗАО;410;без отделки;нет;10;;13;6,5;Спортивные грамоты  и дипломы;Грамоты и дипломы;Официальные;Открытки;
9e046da8-cfa1-11df-ad99-e0cb4ecb44d2;065.759;Грамота за 2 место;Грамота за 2 место;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326241000465759.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326241000465759.back.jpg;118;грамота А4, диплом;28.09.2010;Мир поздравлений ЗАО;410;без отделки;нет;10;;13;6,5;Спортивные грамоты  и дипломы;Грамоты и дипломы;Официальные;Открытки;
9e046daa-cfa1-11df-ad99-e0cb4ecb44d2;065.760;Грамота за 3 место;Грамота за 3 место;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326241000465760.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326241000465760.back.jpg;88;грамота А4, диплом;28.09.2010;Мир поздравлений ЗАО;410;без отделки;нет;10;;13;6,5;Спортивные грамоты  и дипломы;Грамоты и дипломы;Официальные;Открытки;
a9fd4edf-cfa1-11df-ad99-e0cb4ecb44d2;01.035;Поздравляю!;Поздравляю!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460708299485001035.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460708299485001035.back.jpg;9;малый гигант;28.09.2010;Открытая планета ООО;485;фольга, конгрев;есть;10;;35;17,3;Поздравляю (ем);Поздравительные;Открытки;;
a9fd4ee3-cfa1-11df-ad99-e0cb4ecb44d2;01.037;Поздравляю!;Поздравляю!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460708299475101037.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460708299475101037.back.jpg;13;квадрат;28.09.2010;Открытая планета ООО;475;фольга, конгрев;есть;10;;25;11,6;Поздравляю (ем);Поздравительные;Открытки;;
a9fd4ee9-cfa1-11df-ad99-e0cb4ecb44d2;03.074;Поздравляем!;Поздравляем!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460708299485003074.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460708299485003074.back.jpg;8;малый гигант;28.09.2010;Открытая планета ООО;485;фольга, конгрев;есть;10;;35;17,3;Поздравляю (ем);Поздравительные;Открытки;;
a9fd4eeb-cfa1-11df-ad99-e0cb4ecb44d2;03.075;Поздравляем!;Поздравляем!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460708299485003075.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460708299485003075.back.jpg;36;малый гигант;28.09.2010;Открытая планета ООО;485;фольга, конгрев;есть;10;;35;17,3;Поздравляю (ем);Поздравительные;Открытки;;
a9fd4eed-cfa1-11df-ad99-e0cb4ecb44d2;03.076;Поздравляем!;Поздравляем!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460708299475103076.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460708299475103076.back.jpg;6;квадрат;28.09.2010;Открытая планета ООО;475;две фольги;есть;10;;25;11,6;Поздравляю (ем);Поздравительные;Открытки;;
d4704ff5-cfa1-11df-ad99-e0cb4ecb44d2;53.230;С днем рождения!;С днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460708299475153230.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460708299475153230.back.jpg;42;квадрат;28.09.2010;Открытая планета ООО;475;две фольги;есть;10;;25;11,6;С днем рождения;Детские и молодежные;Открытки;;
d4704ff7-cfa1-11df-ad99-e0cb4ecb44d2;53.231;С днем рождения!;С днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460708299475153231.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460708299475153231.back.jpg;4;квадрат;28.09.2010;Открытая планета ООО;475;две фольги;есть;10;;25;11,6;С днем рождения;Детские и молодежные;Открытки;;
d4704ff9-cfa1-11df-ad99-e0cb4ecb44d2;53.232;С днем рождения!;С днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460708299475153232.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460708299475153232.back.jpg;56;квадрат;28.09.2010;Открытая планета ООО;475;две фольги;есть;10;;25;11,6;С днем рождения;Детские и молодежные;Открытки;;
e0505254-cfa1-11df-ad99-e0cb4ecb44d2;11,616,00;С Днем рождения! 3 года;С Днем рождения! 3 года;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860011511616.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860011511616.back.jpg;21;гигант;28.09.2010;Империя поздравлений ООО;770;блестки, конгрев;есть;10;;48;23,6;Даты по годам;Открытки;;;
e0505256-cfa1-11df-ad99-e0cb4ecb44d2;11,617,00;С Днем рождения! 4 года;С Днем рождения! 4 года;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860011511617.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860011511617.back.jpg;17;гигант;28.09.2010;Империя поздравлений ООО;770;блестки, конгрев;есть;10;;48;23,6;Даты по годам;Открытки;;;
fcc831b3-cfa3-11df-ad99-e0cb4ecb44d2;11,652,00;С Днем рождения! Super вечеринка;С Днем рождения! Super вечеринка;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860011511652.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860011511652.back.jpg;4;гигант;28.09.2010;Империя поздравлений ООО;770;фольга, конгрев;есть;10;;48;23,6;Молодежные;Детские и молодежные;Открытки;;
fcc831bb-cfa3-11df-ad99-e0cb4ecb44d2;11,670,00;С Днем рождения!;С Днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860011511670.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860011511670.back.jpg;49;гигант;28.09.2010;Империя поздравлений ООО;770;фольга, конгрев;есть;10;;48;23,6;С днем рождения;Поздравительные;Открытки;;
0a05a97e-cfa4-11df-ad99-e0cb4ecb44d2;20,508,00;Поздравляем!;Поздравляем!;шт;Открытки;;больше месяца;4;;;16;средний;28.09.2010;Империя поздравлений ООО;475;термография, конгрев;есть;10;;25;11,6;Поздравляю (ем);Поздравительные;Открытки;;
0a05a984-cfa4-11df-ad99-e0cb4ecb44d2;20,513,00;Поздравляем!;Поздравляем!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009220513.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009220513.back.jpg;8;средний;28.09.2010;Империя поздравлений ООО;475;блестки, конгрев;есть;10;;25;11,6;Поздравляю (ем);Поздравительные;Открытки;;
1724c33c-cfa4-11df-ad99-e0cb4ecb44d2;35,094,00;50 лет;50 лет;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860003035094.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860003035094.back.jpg;19;малый одинарный формат (медали);28.09.2010;Империя поздравлений ООО;065;термография;есть;20;;5;2,3;Юбилей;Поздравительные;Открытки;;
99cce6ff-d03d-11df-ae97-e0cb4ecb44d2;ПБ200;Полумаска с блестками 'Фрэнки';Полумаска с блестками 'Фрэнки';шт;Карнавальная продукция;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/2000142900686.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/2000142900686.back.jpg;5;;30.09.2010;Арт-Сервис ХХI ООО;;;;;;190;122;Маски;Карнавальные аксессуары;Карнавально-праздничная продукция;;
2fba6bae-0e8a-11e0-ae32-e0cb4ecb44d2;16476;С Днем Рождения;С Днем Рождения;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460228900475316476.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460228900475316476.back.jpg;7;Средний;14.12.2010;Праздник ЗАО;475;;;10;;25;11,6;С днем рождения;Детские и молодежные;Открытки;;
b7868cdc-d091-11df-ae97-e0cb4ecb44d2;ПТ415;Паучки свет. в темноте 24шт.;Паучки свет. в темноте 24шт.;шт;Сувениры;;больше месяца;4;;;10;;30.09.2010;Арт-Сервис ХХI ООО;;;;;;40;40;Приколы;;;;
b7868cd2-d091-11df-ae97-e0cb4ecb44d2;ПТ366;Мыльные пузыри 'Сердечки';Мыльные пузыри 'Сердечки';шт;Игрушки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/2000142901218.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/2000142901218.back.jpg;4;;30.09.2010;Арт-Сервис ХХI ООО;;;;;;30;30;Мыльные пузыри;Карнавально-праздничная продукция;;;
b7868d00-d091-11df-ae97-e0cb4ecb44d2;ПТ49;Жвачка-взрыв (бел.);Жвачка-взрыв (бел.);шт;Сувениры;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/2000142901447.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/2000142901447.back.jpg;34;;30.09.2010;Арт-Сервис ХХI ООО;;;;;;40;40;Приколы;;;;
33d6e6ef-a5ef-11df-af72-e0cb4ecb44d2;054.297;С днем рождения!;С днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500354297.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500354297.back.jpg;10;средний;03.08.2010;Мир поздравлений ЗАО;475;диз. бумага, блестки;есть;10;;25;11,6;С днем рождения;Юмор;Открытки;;
ab0622d7-d095-11df-ae97-e0cb4ecb44d2;ПУ152;Открывалка взрывная;Открывалка взрывная;шт;Сувениры;;больше месяца;4;;;5;;30.09.2010;Арт-Сервис ХХI ООО;;;;;;100;100;Приколы;;;;
5d72ade3-abae-11e0-8620-e0cb4ecb44d2;056.036;С днем рождения!;С днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500356036.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500356036.back.jpg;20;средний;05.07.2011;Мир поздравлений ЗАО;475;блестки, фольга;есть;10;;25;11,6;С днем рождения;Детские и молодежные;Открытки;;
f629b5b9-1a8f-11e1-9e3c-e0cb4eca7bff;056.231;С днем рождения!;С днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500356231.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326247500356231.back.jpg;15;средний;29.11.2011;Мир поздравлений ЗАО;475;блестки, конгрев;есть;10;;25;11,6;С днем рождения;Юмор;Открытки;;
721a3108-70c1-11e0-a054-e0cb4ecb44d2;092.056;С днем рождения!;С днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326277000992056.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326277000992056.back.jpg;130;гигант;20.04.2011;Мир поздравлений ЗАО;770;фольга, конгрев;есть;10;;48;23,6;С днем рождения;Поздравительные;Открытки;;
aec5b49d-d138-11df-ab62-e0cb4ecb44d2;2884/58;Бумага мелованная 70СМ*100СМ (10216020/160709/0007249/1, Италия);Бумага мелованная 70СМ*100СМ (10216020/160709/0007249/1, Италия);шт;Подарочная упаковка;;больше месяца;4;;;9;;11.07.2012;Русская Упаковка ООО;;;;;;43;27;Бумага прочая;Бумага упаковочная;Подарочная упаковка;;
8179c488-d148-11df-ab62-e0cb4ecb44d2;В-900IR-ZL4ВО 19;Полисилк БОРДО+СЕРЕБРО Bordeaux 1*20м 1L (10216100/141009/0086315, Италия);Полисилк БОРДО+СЕРЕБРО Bordeaux 1*20м 1L (10216100/141009/0086315, Италия);шт;Подарочная упаковка;;больше месяца;4;;;4;;30.09.2010;Русская Упаковка ООО;;;;;;500;464;Пленка полисилк;Пленка;Подарочная упаковка;;
82ec761d-d54f-11df-aef4-e0cb4ecb44d2;064.199;Плакат 'Президент РФ Медведев Д. А.';Плакат 'Президент РФ Медведев Д. А.';шт;Товары с Российской символикой;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326293600964199.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326293600964199.back.jpg;28;плакат А3;05.10.2010;Мир поздравлений ЗАО;936;без отделки;нет;10;;39;19,4;Официальные плакаты;Официальные;Открытки;;
82ec761f-d54f-11df-aef4-e0cb4ecb44d2;064.200;Плакат 'Президент РФ Медведев Д. А.';Плакат 'Президент РФ Медведев Д. А.';шт;Товары с Российской символикой;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326293600964200.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326293600964200.back.jpg;45;плакат А3;05.10.2010;Мир поздравлений ЗАО;936;без отделки;нет;10;;39;19,4;Официальные плакаты;Официальные;Открытки;;
82ec7621-d54f-11df-aef4-e0cb4ecb44d2;064.223;Плакат 'Президент РФ Медведев Д. А.';Плакат 'Президент РФ Медведев Д. А.';шт;Товары с Российской символикой;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326277700864223.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326277700864223.back.jpg;88;плакат А2;05.10.2010;Мир поздравлений ЗАО;777;без отделки;нет;10;;76;38,2;Официальные плакаты;Официальные;Открытки;;
82ec7627-d54f-11df-aef4-e0cb4ecb44d2;064.598;Плакат 'Правила пожарной безопасности';Плакат 'Правила пожарной безопасности';шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326294100364598.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326294100364598.back.jpg;36;плакат А2;05.10.2010;Мир поздравлений ЗАО;941;без отделки;нет;10;;46;22,5;Школьные плакаты и для детского сада;Школа и детский сад;Открытки;;
82ec762f-d54f-11df-aef4-e0cb4ecb44d2;066.041;30 лет;30 лет;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326215000966041.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326215000966041.back.jpg;11;малый двойной формат;05.10.2010;Мир поздравлений ЗАО;150;фольга;есть;20;;7;3,3;Юбилей;Поздравительные;Открытки;;
82ec7631-d54f-11df-aef4-e0cb4ecb44d2;066.042;35 лет;35 лет;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326215000966042.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326215000966042.back.jpg;28;малый двойной формат;05.10.2010;Мир поздравлений ЗАО;150;фольга;есть;20;;7;3,3;Юбилей;Поздравительные;Открытки;;
82ec7633-d54f-11df-aef4-e0cb4ecb44d2;066.043;40 лет;40 лет;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326215000966043.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326215000966043.back.jpg;35;малый двойной формат;05.10.2010;Мир поздравлений ЗАО;150;фольга;есть;20;;7;3,3;Даты по годам;Открытки;;;
82ec7635-d54f-11df-aef4-e0cb4ecb44d2;066.044;65 лет;65 лет;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326215000966044.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326215000966044.back.jpg;6;малый двойной формат;05.10.2010;Мир поздравлений ЗАО;150;фольга;есть;20;;7;3,3;Юбилей;Поздравительные;Открытки;;
82ec7637-d54f-11df-aef4-e0cb4ecb44d2;066.123;50 лет;50 лет;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460326215000966123.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460326215000966123.back.jpg;5;малый одинарный формат (медали);05.10.2010;Мир поздравлений ЗАО;150;фольга;есть;20;;7;3,3;Юбилей;Поздравительные;Открытки;;
82ec7645-d54f-11df-aef4-e0cb4ecb44d2;П257;3 года СДР;3 года СДР;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460228900941300257.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460228900941300257.back.jpg;15;Плакат;07.10.2010;Праздник ЗАО;936;;;10;;39;19,4;Плакаты С днем рождения Юбилей;Поздравительные;Открытки;;
82ec7649-d54f-11df-aef4-e0cb4ecb44d2;П708;анг.неправильные глаголы;анг.неправильные глаголы;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460228900941300708.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460228900941300708.back.jpg;8;Плакат;07.10.2010;Праздник ЗАО;941;;;10;;46;22,5;Школьные плакаты и для детского сада;Школа и детский сад;Открытки;;
82ec764b-d54f-11df-aef4-e0cb4ecb44d2;П539;Взрывные устройства;Взрывные устройства;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/4602289009413539.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/4602289009413539.back.jpg;22;Плакат;07.10.2010;Праздник ЗАО;941;;;10;;46;22,5;Школьные плакаты и для детского сада;Школа и детский сад;Открытки;;
82ec764f-d54f-11df-aef4-e0cb4ecb44d2;П683;Идем в зоопарк;Идем в зоопарк;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460228900941300683.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460228900941300683.back.jpg;5;Плакат;07.10.2010;Праздник ЗАО;941;;;10;;46;22,5;Школьные плакаты и для детского сада;Школа и детский сад;Открытки;;
6efb5c3e-d5ff-11df-bc68-e0cb4ecb44d2;02,142,16;Кто живет в деревне;Кто живет в деревне;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860021402142.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860021402142.back.jpg;26;плакат А2;05.10.2010;Империя поздравлений ООО;941;без отделки;нет;10;;46;22,5;Школьные плакаты и для детского сада;Школа и детский сад;Открытки;;
6efb5c40-d5ff-11df-bc68-e0cb4ecb44d2;02,143,16;Кто живет в лесу;Кто живет в лесу;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860021402143.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860021402143.back.jpg;16;плакат А2;05.10.2010;Империя поздравлений ООО;941;без отделки;нет;10;;46;22,5;Школьные плакаты и для детского сада;Школа и детский сад;Открытки;;
6b25d1b3-d60d-11df-bc68-e0cb4ecb44d2;02,149,16;Овощи;Овощи;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860021402149.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860021402149.back.jpg;19;плакат А2;05.10.2010;Империя поздравлений ООО;941;без отделки;нет;10;;46;22,5;Школьные плакаты и для детского сада;Школа и детский сад;Открытки;;
